id,itemId,source,comment,todo,block,blockEmpty,empty,mixed,single,total,name,createdAt,updatedAt
14229407,355248490,1,0,0,0,0,0,0,0,1,hasSynchedDialog.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229408,355248493,1,0,0,0,0,0,0,0,1,headerManager.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229409,355248495,1,0,0,0,0,0,0,0,1,headerManager.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229410,355248497,3,1,0,0,0,1,0,1,5,helloWorld.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229411,355248501,47,5,0,3,0,9,0,2,61,hero.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229412,355248505,20,5,0,3,0,3,1,2,27,heroDetails.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229413,355248508,1,0,0,0,0,0,0,0,1,homePageWrapper.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229414,355248510,1,0,0,0,0,0,0,0,1,homePageWrapperPo.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229415,355248513,4,5,0,5,0,4,0,0,13,hotelDetails.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229416,355248520,1,0,0,0,0,0,0,0,1,iconWithMessage.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229417,355248523,1,0,0,0,0,0,0,0,1,ifElse.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229418,355248525,1,0,0,0,0,0,0,0,1,ignoredFilesColumns.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229419,355248528,1,0,0,0,0,0,0,0,1,ignoredFilesDialog.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229420,355248532,1,0,0,0,0,0,0,0,1,importDataModalForm.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229421,355248534,1,0,0,0,0,0,0,0,1,importDataModalFormConsts.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229422,355248535,1,0,0,0,0,0,0,0,1,importDataModalFormPo.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229423,355248537,1,0,0,0,0,0,0,0,1,importPolicyAdvancedSection.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229424,355248539,1,0,0,0,0,0,0,0,1,importPolicyAdvancedSectionPo.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229425,355248541,1,0,0,0,0,0,0,0,1,importPolicyInformationSection.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229426,355248543,1,0,0,0,0,0,0,0,1,importPolicyInformationSectionPo.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229427,355248545,1,0,0,0,0,0,0,0,1,importPolicyLookupManualFieldsSelector.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229428,355248547,1,0,0,0,0,0,0,0,1,importPolicyLookupManualFieldsSelectorPo.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229429,355248550,1,0,0,0,0,0,0,0,1,importPolicyLookupTypeSelector.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229430,355248552,1,0,0,0,0,0,0,0,1,importPolicyLookupTypeSelectorConsts.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229431,355248553,1,0,0,0,0,0,0,0,1,importPolicyLookupTypeSelectorPo.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229432,355248555,1,0,0,0,0,0,0,0,1,importPolicyLookups.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229433,355248557,1,0,0,0,0,0,0,0,1,importPolicyLookupsPo.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229434,355248559,1,0,0,0,0,0,0,0,1,importPolicyNoDataPlaceholder.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229435,355248561,1,0,0,0,0,0,0,0,1,importPolicyNoDataPlaceholderPo.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229436,355248563,1,0,0,0,0,0,0,0,1,importPolicyQueryDetails.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229437,355248565,1,0,0,0,0,0,0,0,1,importPolicyQueryDetailsPo.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229438,355248568,1,0,0,0,0,0,0,0,1,importPolicyView.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229439,355248570,1,0,0,0,0,0,0,0,1,importPolicyViewPo.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229440,355248573,1,0,0,0,0,0,0,0,1,importPolicyWrapper.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229441,355248575,1,0,0,0,0,0,0,0,1,importPolicyWrapperPo.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229442,355248578,1,0,0,0,0,0,0,0,1,impossibleQueriesFormModal.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229443,355248580,1,0,0,0,0,0,0,0,1,impossibleQueriesFormModalPo.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229444,355248582,1,0,0,0,0,0,0,0,1,impossibleQueriesFormModalQueryLine.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229445,355248586,1,0,0,0,0,0,0,0,1,indexFieldsConfiguration.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229446,355248588,1,0,0,0,0,0,0,0,1,indexFieldsConfigurationConstants.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229447,355248589,1,0,0,0,0,0,0,0,1,indexFieldsConfigurationPo.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229448,355248593,1,0,0,0,0,0,0,0,1,infoDialog.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229449,355248595,1,0,0,0,0,0,0,0,1,infoDialog.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229450,355248598,1,0,0,0,0,0,0,0,1,infoDialogManager.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229451,355248600,1,0,0,0,0,0,0,0,1,infoDialogManager.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229452,355248601,1,0,0,0,0,0,0,0,1,infoDialogManager.test.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229453,355248603,1,0,0,0,0,0,0,0,1,informationComponent.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229454,355248605,1,0,0,0,0,0,0,0,1,informationComponentPo.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229455,355248607,6,0,0,0,0,3,0,0,9,innovateFastLWC1.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229456,355248611,1,0,0,0,0,0,0,0,1,inputField.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229457,355248614,1,0,0,0,0,0,0,0,1,integrationUsersInfo.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229458,355248616,1,0,0,0,0,0,0,0,1,integrationUsersInfoPo.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229459,355248619,1,0,0,0,0,0,0,0,1,isUARScheduled.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
