id,name,status,totalLicenses,usedLicenses,remainingLicenses,expirationDate,type,apiName,createdAt,updatedAt
830699,Overage Authenticated Website,Active,5,0,5,,User Licenses,Overage_Platform_Portal_User,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830700,Partner,Active,50,0,50,,User Licenses,POWER_PRM,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830701,Partner App Subscription,Active,50,0,50,,User Licenses,FDC_ISV_SUB,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830702,Partner Community,Active,60,0,60,,User Licenses,PID_Partner_Community,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830703,Partner Community Login,Active,250,1,249,,User Licenses,PID_Partner_Community_Login,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830704,Sales Insights Integration User,Active,1,1,0,,User Licenses,PID_ImplisitIntegration,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830705,Salesforce,Active,150,25,125,,User Licenses,SFDC,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830706,Salesforce Integration,Active,5,3,2,,User Licenses,SALESFORCE_INTEGRATION_USER,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830707,Salesforce Platform,Active,50,3,47,,User Licenses,AUL,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830708,Salesforce Platform One,Active,50,0,50,,User Licenses,AUL1,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830709,SalesforceIQ Integration User,Active,1,1,0,,User Licenses,PID_SalesforceIQIntegration,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830710,Service Cloud,Active,30,0,30,,User Licenses,SERVICE_CLOUD,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830711,Silver Partner,Active,50,0,50,,User Licenses,PID_STANDARD_PRM,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830712,Siteforce Only,Active,50,0,50,,User Licenses,PID_SITEFORCE,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830713,Work.com Only,Active,50,0,50,,User Licenses,PID_WCUSER,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830714,(Retired) Salesforce Mobile Chat Experience,Disabled,0,0,0,,Permission Set Licenses,IsotopePermissionSet,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830715,Agentforce (Default),Active,106,4,102,,Permission Set Licenses,EinsteinGPTCopilotPsl,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830716,Analytics Cloud - Wave Community Users,Active,50,0,50,,Permission Set Licenses,WaveCommunitiesPsl,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830717,Analytics Cloud Apps,Active,50,1,49,,Permission Set Licenses,AnalyticsAppPsl,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830718,Analytics Cloud Explorer,Active,60,1,59,,Permission Set Licenses,InsightsExplorerPsl,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830719,Analytics Embedded App,Active,10,0,10,,Permission Set Licenses,WaveEmbeddedApp,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830720,Analytics Platform,Active,60,2,58,,Permission Set Licenses,InsightsBuilderPsl,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830721,Analytics Template Administration,Active,5,0,5,,Permission Set Licenses,InsightsInboxAdminAnalyticsPsl,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830722,Analytics View Only Embedded App,Disabled,0,0,0,,Permission Set Licenses,AnalyticsViewOnlyEmbeddedAppPsl,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830723,B2B Commerce,Active,50,0,50,,Permission Set Licenses,B2BCommerce_B2BCommerceAdminPsl,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830724,Backup and Restore User,Active,3100,2,3098,,Permission Set Licenses,bar_BackupRestoreUserPsl,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830725,Code Builder,Active,100,2,98,,Permission Set Licenses,CodeBuilderUserPsl,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830726,Company Community for Force.com,Active,5,0,5,,Permission Set Licenses,CompanyCommunityPsl,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830727,CRM Analytics Plus,Active,5,4,1,,Permission Set Licenses,EinsteinAnalyticsPlusPsl,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830728,CRM User,Active,60,2,58,,Permission Set Licenses,CRMUserPsl,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830729,Cross Org Data Proxy,Active,10,0,10,,Permission Set Licenses,PID_XOrg_Proxy_User,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830730,Custom Mobile Applications,Active,10,0,10,,Permission Set Licenses,CustomMobileAppPsl,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830731,Customer Data Cloud for Marketing,Active,200000,2,199998,,Permission Set Licenses,CdpSegmentsActivationsCardPsl,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830732,Data Cloud,Active,200000,4,199996,,Permission Set Licenses,GenieDataPlatformStarterPsl,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830733,Data Mask User,Active,40,6,34,,Permission Set Licenses,datamask_DataMaskUserPsl,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830734,Dialer Inbound User,Active,10,0,10,,Permission Set Licenses,VoiceInboundPsl,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830735,Dialer Minutes,Active,10,0,10,,Permission Set Licenses,VoiceMinutesPsl,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
830736,Dialer Outbound User,Active,10,0,10,,Permission Set Licenses,VoiceOutboundPsl,2026-05-04T00:47:36.943Z,2026-05-04T00:47:36.943Z
