metadataName,scanName,itemName,id,metadataId,itemId,type,description,line,column,severity,rule,category,engine,url,problem,name,label,createdAt,updatedAt
11855,12909,355247084,150384858,11855,355247084,lwc,Expected an assignment or function call and instead saw an expression.,1,1,2,no-unused-expressions,suggestion,eslint-lwc,https://eslint.org/docs/latest/rules/no-unused-expressions,31,accountWarningsLine.js,accountWarningsLine,2026-05-04T00:45:43.543Z,2026-05-04T00:45:43.543Z
11855,12909,355247084,150384859,11855,355247084,lwc,'hidden' is not defined.,1,2,2,no-undef,problem,eslint-lwc,https://eslint.org/docs/latest/rules/no-undef,32,accountWarningsLine.js,accountWarningsLine,2026-05-04T00:45:43.543Z,2026-05-04T00:45:43.543Z
11855,12909,355247086,150384860,11855,355247086,lwc,Expected an assignment or function call and instead saw an expression.,1,1,2,no-unused-expressions,suggestion,eslint-lwc,https://eslint.org/docs/latest/rules/no-unused-expressions,33,accountWarningsLinePo.js,accountWarningsLinePo,2026-05-04T00:45:43.543Z,2026-05-04T00:45:43.543Z
11855,12909,355247086,150384861,11855,355247086,lwc,'hidden' is not defined.,1,2,2,no-undef,problem,eslint-lwc,https://eslint.org/docs/latest/rules/no-undef,34,accountWarningsLinePo.js,accountWarningsLinePo,2026-05-04T00:45:43.543Z,2026-05-04T00:45:43.543Z
11855,12909,355247088,150384862,11855,355247088,lwc,Expected an assignment or function call and instead saw an expression.,1,1,2,no-unused-expressions,suggestion,eslint-lwc,https://eslint.org/docs/latest/rules/no-unused-expressions,35,actionButtonUtil.js,actionButtonUtil,2026-05-04T00:45:43.543Z,2026-05-04T00:45:43.543Z
11855,12909,355247088,150384863,11855,355247088,lwc,'hidden' is not defined.,1,2,2,no-undef,problem,eslint-lwc,https://eslint.org/docs/latest/rules/no-undef,36,actionButtonUtil.js,actionButtonUtil,2026-05-04T00:45:43.543Z,2026-05-04T00:45:43.543Z
11855,12909,355247093,150384864,11855,355247093,lwc,Expected an assignment or function call and instead saw an expression.,1,1,2,no-unused-expressions,suggestion,eslint-lwc,https://eslint.org/docs/latest/rules/no-unused-expressions,37,actionMenu.js,actionMenu,2026-05-04T00:45:43.543Z,2026-05-04T00:45:43.543Z
11855,12909,355247093,150384865,11855,355247093,lwc,'hidden' is not defined.,1,2,2,no-undef,problem,eslint-lwc,https://eslint.org/docs/latest/rules/no-undef,38,actionMenu.js,actionMenu,2026-05-04T00:45:43.543Z,2026-05-04T00:45:43.543Z
11855,12909,355247096,150384866,11855,355247096,lwc,Expected an assignment or function call and instead saw an expression.,1,1,2,no-unused-expressions,suggestion,eslint-lwc,https://eslint.org/docs/latest/rules/no-unused-expressions,39,actions.js,actions,2026-05-04T00:45:43.543Z,2026-05-04T00:45:43.543Z
11855,12909,355247096,150384867,11855,355247096,lwc,'hidden' is not defined.,1,2,2,no-undef,problem,eslint-lwc,https://eslint.org/docs/latest/rules/no-undef,40,actions.js,actions,2026-05-04T00:45:43.543Z,2026-05-04T00:45:43.543Z
