metadataName,scanName,itemName,id,metadataId,itemId,problem,line,ruleset,rule,priority,description,type,column,engine,url,name,label,createdAt,updatedAt
11855,12909,355237699,144983795,11855,355237699,32,45,Best Practices,DebugsShouldUseLoggingLevel,3,Calls to System.debug should specify a logging level.,class,13,pmd,https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel,ActionDispatcherCreateRecord.cls,ActionDispatcherCreateRecord,2026-05-04T00:46:59.813Z,2026-05-04T00:46:59.813Z
11855,12909,355237699,144983796,11855,355237699,33,53,Performance,AvoidDebugStatements,3,Avoid debug statements since they impact on performance,class,25,pmd,https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_performance.html#avoiddebugstatements,ActionDispatcherCreateRecord.cls,ActionDispatcherCreateRecord,2026-05-04T00:46:59.813Z,2026-05-04T00:46:59.813Z
11855,12909,355237699,144983797,11855,355237699,34,53,Best Practices,DebugsShouldUseLoggingLevel,3,Calls to System.debug should specify a logging level.,class,25,pmd,https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel,ActionDispatcherCreateRecord.cls,ActionDispatcherCreateRecord,2026-05-04T00:46:59.813Z,2026-05-04T00:46:59.813Z
11855,12909,355237700,144983798,11855,355237700,35,6,Documentation,ApexDoc,3,Missing ApexDoc comment,class,8,pmd,https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc,ActionDispatcherPostRecordDetailMessage.cls,ActionDispatcherPostRecordDetailMessage,2026-05-04T00:46:59.813Z,2026-05-04T00:46:59.813Z
11855,12909,355237700,144983799,11855,355237700,36,11,Documentation,ApexDoc,3,Missing ApexDoc comment,class,12,pmd,https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc,ActionDispatcherPostRecordDetailMessage.cls,ActionDispatcherPostRecordDetailMessage,2026-05-04T00:46:59.813Z,2026-05-04T00:46:59.813Z
11855,12909,355237700,144983800,11855,355237700,37,15,Documentation,ApexDoc,3,Missing ApexDoc comment,class,16,pmd,https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc,ActionDispatcherPostRecordDetailMessage.cls,ActionDispatcherPostRecordDetailMessage,2026-05-04T00:46:59.813Z,2026-05-04T00:46:59.813Z
11855,12909,355237700,144983801,11855,355237700,38,20,Documentation,ApexDoc,3,Missing ApexDoc comment,class,16,pmd,https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc,ActionDispatcherPostRecordDetailMessage.cls,ActionDispatcherPostRecordDetailMessage,2026-05-04T00:46:59.813Z,2026-05-04T00:46:59.813Z
11855,12909,355237700,144983802,11855,355237700,39,41,Performance,AvoidDebugStatements,3,Avoid debug statements since they impact on performance,class,17,pmd,https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_performance.html#avoiddebugstatements,ActionDispatcherPostRecordDetailMessage.cls,ActionDispatcherPostRecordDetailMessage,2026-05-04T00:46:59.813Z,2026-05-04T00:46:59.813Z
11855,12909,355237700,144983803,11855,355237700,40,41,Best Practices,DebugsShouldUseLoggingLevel,3,Calls to System.debug should specify a logging level.,class,17,pmd,https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel,ActionDispatcherPostRecordDetailMessage.cls,ActionDispatcherPostRecordDetailMessage,2026-05-04T00:46:59.813Z,2026-05-04T00:46:59.813Z
11855,12909,355237701,144983804,11855,355237701,41,6,Documentation,ApexDoc,3,Missing ApexDoc comment,class,8,pmd,https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc,ActionDispatcherSubmitRecord.cls,ActionDispatcherSubmitRecord,2026-05-04T00:46:59.813Z,2026-05-04T00:46:59.813Z
